Id,Name,App,AvgCpu,CurrentType,SuggestedType
i-036a57f4e9f6d82dd,nenportal-app-2-dxp-stage-gc,NEN,1.57,m3.xlarge,t2.micro
i-0001243980b9dcd32,loxy-test-app-1-dev-internal,Support,1.57,t2.micro,t2.micro
i-003269683b6099fc1,nasatube-webapp-1-dev-gc,NASATube,5.51,m3.xlarge,t2.small
i-5e4bd57b,nasatube-db-1-dev-gc,NASATube,3.08,m3.large,t2.micro
i-00dcfc7a8f99a3a26,skyhigh-logs-1-prod-gc,Security_Infrastructure.Splunk,0.97,t2.micro,t2.micro
i-0c0895b33c3b03c1c,magicdraw-altair-sao-db-1-dev-gc,MagicDraw,11.46,m3.medium,t2.small
i-0ef8a66eb74db0b81,magicdraw-teamwork-webapp-2-stage-gc,MagicDraw,5.77,m3.medium,t2.small
i-099f9b60623990d5c,bfmc-matlab-creator-1-dev-gc,CARA,0.46,t2.micro,t2.micro
i-bdbe0f99,eva-app-2-dev-gc,EVA,1.35,r4.xlarge,t2.micro
i-09a3302e1c0b0da59,splunk-master-1-prod-gc,Security_Infrastructure.Splunk,3.78,m4.large,t2.micro
i-faa3d3df,devopsgc-crowd-1-prod-gc,DevOps_Suite_GC,2.18,m3.large,t2.micro
i-0e5972c57936102f1,nasatube-webapp-1-prod-gc,NASATube,1.7,m4.xlarge,t2.micro
i-9f6282ba,search-admin-1-dev-gc,Search,1.47,m3.xlarge,t2.micro
i-0eeef78fdcc10acfa,search-mapred-2-prod-gc,Search,3.32,r4.large,t2.micro
i-06b70389c22d1abe1,eva-app-1-dev-gc,EVA,4.72,r4.xlarge,t2.micro
i-c8acf9ea,pcat-webfront-1-prod,PCAT,8.02,m3.medium,t2.small
i-0b7dae00fbd733252,nagios-webapp-1-prod-gc,Nagios,7.24,m4.large,t2.small
i-01415e0b943df818f,nessus-app-1-prod-gc,Security_Infrastructure.SecurityCenter,0.45,t2.medium,t2.micro
i-a3335a86,pcat-webfront-1-dev,PCAT,7.42,m3.medium,t2.small
i-a063a185,smoont-webapp-1-prod-gc,NEN,25.21,m3.medium,t2.small
i-035787e217b0bc058,insidenasa-app-1-dev-gc,InsideNASA,1.06,m3.medium,t2.micro
i-65a91c40,search-hadoop-1-stage-gc,Search,1.38,r3.xlarge,t2.micro
i-62a91c47,search-hadoop-2-stage-gc,Search,1.41,r3.xlarge,t2.micro
i-bd108d98,magicdraw-flexnet-webapp-1-prod-gc,MagicDraw,1.16,m3.large,t2.micro
i-1d6c9039,magicdraw-altair-sao-db-1-prod-gc,MagicDraw,13.39,m3.medium,t2.small
i-e7319dc2,search-hadoop-1-prod-gc,Search,5.81,r4.large,t2.small
i-11a72334,eva-app-3-stage-gc,EVA,2.13,r4.xlarge,t2.micro
i-69da4c4c,eva-app-1-prod-gc,EVA,6.61,r4.xlarge,t2.small
i-a7a11083,eva-app-2-prod-gc,EVA,28.87,r4.xlarge,t2.small
i-f68364d3,search-solr-2-prod-gc,Search,37.81,r4.xlarge,t2.small
i-0d288e29,wp-dns-1-prod-gc,Support,3.97,t2.small,t2.micro
i-facb62d8,pcat.nasa.gov-webapp-prod-gc,PCAT,13.18,m3.medium,t2.small
i-c5a723e0,eva-search-3-stage-gc,EVA,2.38,r4.xlarge,t2.micro
i-c4a723e1,eva-search-1-stage-gc,EVA,2.19,r4.xlarge,t2.micro
i-c6a723e3,eva-search-2-stage-gc,EVA,2.41,r4.xlarge,t2.micro
i-006dc63953345797d,MATLAB-worker-webapp-2-dev-gcpriv,MatLab_CloudPilot,18.38,c4.2xlarge,t2.small
