Id,Name,App,AvgCpu,CurrentType,SuggestedType
i-c2222546,utm-vg-webapp-1-prod-pubvpc,UTM,3.91,m3.large,t2.medium
i-2ebb3bfe,nmo-webapp-2-stage-priv,Nasa_Management_Office_website,3.87,m3.large,t2.medium
i-09cc0f84e06ff265d,smd-cron-prod-red,SMD,0.24,c4.xlarge,t2.small
i-07732f8f5f0709b4d,smd-webcache-prod-pink-pubvpc,SMD,0.43,c4.xlarge,t2.small
i-04d2d26ba9cbad9fd,devops-confluence-1-dev-priv,DevOps_Suite,0.22,m4.large,t2.small
i-09ec9dd8a3445b94b,mynasa-webapp-1-stage-pubvpc,mynasa,1.0,m3.medium,t2.small
i-1a33b1e7,daas-internal-app-1-prod-priv,DaaS,9.75,m3.large,t2.medium
i-6867d395,daas-internal-file-2-prod-priv,DaaS,3.69,m3.large,t2.medium
i-08072ff8e897d7837,proxy-app-3-prod-priv,Proxies,0.93,m3.medium,t2.small
i-3fe8436f,piwik-webapp-1-prod-priv,Piwik,12.41,m3.large,t2.medium
i-b856b3d3,nomadinternal-webapp-2-prod-priv,nomad,2.72,m3.large,t2.medium
i-08694e4fdff6c422e,captcha-app-1-prod-pubvpc,Captcha,11.21,m3.medium,t2.medium
i-0315d3dfcd1650ebd,daas-webapp-1-stage-az2-priv,DaaS,0.94,t2.large,t2.small
i-ff8b5e67,mssql-db-2-prod-priv,PAM_website,30.28,m3.medium,t2.medium
i-0c9ff8064f9f1b1db,smd-webcache-prod-red-pubvpc,SMD,0.46,c4.xlarge,t2.small
i-059d5dbae147b12ca,mondeca-webapp-1-stage-priv,Mondeca,0.19,m4.xlarge,t2.small
i-0668cfeb1e84c208e,waf-gw-asg-prod-priv,Security_Infrastructure.WebAppFirewall,2.6,m3.xlarge,t2.medium
i-0aa4f28366f274bab,images-api-stage-pubvpc,AVAIL,3.4,m3.medium,t2.medium
i-08db631b8e5a2232c,images-pipeline-stage-pubvpc,AVAIL,3.39,m3.medium,t2.medium
i-057a0c4d373c19cc1,splunk-search-1-prod-priv,Security_Infrastructure.Splunk,6.05,c3.xlarge,t2.medium
i-68a9c7db,www-sean-1-dev-pubvpc,CMS,5.96,m3.medium,t2.medium
i-baacc209,www-marc-1-dev-pubvpc,CMS,14.56,m3.medium,t2.medium
i-010b2bf5efece3788,splunk-fwd-2-prod-priv,Security_Infrastructure.Splunk,11.2,c3.xlarge,t2.medium
i-0cdc9494b243ded48,devops-stash-1-dev-priv,DevOps_Suite,0.42,m4.large,t2.small
i-0bd753287534e288a,jsc-web-1-prod-pubvpc,Spaceflight_website,9.57,m1.medium,t2.medium
i-ab1b5a51,daas-internal-file-2-stage-priv,DaaS,32.51,m3.large,t2.medium
i-0358ebd3cab0db807,dsm-webapp-1-prod-priv,Security_Infrastructure.TrendMicro,0.36,c3.xlarge,t2.small
i-017d2eeb8d64ee9fa,images-api-stage-pubvpc,AVAIL,3.09,m3.medium,t2.medium
i-054f5f610ef7d7884,daas-webapp-0-stage-az2-priv,DaaS,0.82,t2.large,t2.small
i-ddee5f22,devops-stash-1-prod-priv,DevOps_Suite,5.99,m3.large,t2.medium
i-0362fe9415c852a0b,mondeca-webapp-1-dev-priv,Mondeca,0.39,m4.xlarge,t2.small
i-8d3145e2,nmo-webapp-1-stage-priv,Nasa_Management_Office_website,3.76,m3.large,t2.medium
i-751a85ec,wp-dns-1-prod-priv,Support,0.49,t2.small,t2.small
i-1b8a91e0,daas-internal-app-1-dev-priv,DaaS,6.73,m3.large,t2.medium
i-0fb6d3cd3eb72a173,images-api-prod-pubvpc,AVAIL,2.52,m4.large,t2.medium
i-0e22ca9b75789dc24,apex-redirect-ipv6-webapp-2-stage-pubvpc,CMS,1.4,t2.micro,t2.medium
i-07bf30e1c112e5537,daas-webapp-0-stage-az1-priv,DaaS,0.83,t2.large,t2.small
i-0d295170887aed8ef,aorg-webapp-1-prod-priv,AORG,0.91,m3.medium,t2.small
i-06f057472c2bf46d9,smd-webcache-prod-pink-pubvpc,SMD,0.34,c4.xlarge,t2.small
i-1f9afb99,wp-dns-1-stage-priv,Support,0.53,t2.micro,t2.small
i-0b3e8ac4773a973f2,www-app-prod-cms-green,CMS,4.51,c4.xlarge,t2.medium
i-011ad052,bastion-app-2-prod-sandbox,Bastions,0.46,m3.medium,t2.small
i-05b0761d,locust-app-1-dev-pubvpc,CMS,0.46,c4.large,t2.small
i-03e385d72d1806d43,aorg-webapp-1-dev-priv,AORG,1.25,m3.medium,t2.medium
i-0b48c83cbc513ac5a,devops-webapp-1-stage-priv,DevOps_Suite,1.25,m3.xlarge,t2.medium
i-0338709f3b58c7026,mail-app-1-prod-priv,Support,0.97,t2.medium,t2.small
i-0518f4fee9f8d5547,jsc-app-1-stage-pubvpc,Spaceflight_website,50.85,m1.large,t2.medium
i-05faad673b27865f9,utm-vg-webapp-3-dev-pubvpc,UTM,2.7,m3.medium,t2.medium
i-7e409ced,wpaas-webapp-1-prod-pubvpc,WPaaS,7.86,m4.2xlarge,t2.medium
i-04e969d569109bab4,saam-webapp-3-stage-priv,PAM_website,18.77,m3.medium,t2.medium
i-0e1f6a290c375662b,mssql-db-2-dev-priv,PAM_website,26.34,m3.medium,t2.medium
i-01844ff12fde71ef0,splunk-fwd-1-prod-priv,Security_Infrastructure.Splunk,12.79,c3.large,t2.medium
i-ee5c817d,wpaas-webapp-1-stage-pubvpc,WPaaS,0.24,m4.2xlarge,t2.small
i-084ac6cba28db7298,utm-vg-webapp-1-test-stage-pubvpc,UTM,3.05,m3.large,t2.medium
i-066579eb4770e8989,cms-app-prod-blue-temp,CMS,0.16,c4.xlarge,t2.small
i-0c433a6a70d3c46dd,waf-mx-1-prod-priv,Security_Infrastructure.WebAppFirewall,6.02,m3.xlarge,t2.medium
i-835f3130,www-kelly-1-dev-pubvpc,CMS,10.29,m3.medium,t2.medium
i-0d59270dce7f78e16,captcha-app-1-stage-pubvpc,Captcha,1.53,m3.medium,t2.medium
i-029ba483d5bc48407,genelab-dev-app-3-pubvpc,GeneLab,0.23,m4.large,t2.small
i-0a08ab83d00357cec,daas-aegir-app-2-dev-priv,DaaS,0.81,t2.medium,t2.small
